id_cliente;Nombre;Apellido;Direccion;Telefono;Tarjeta;Edad;Salario;Genero;id_pais
82;John;Hall;4267 Kimberly Way;4250067926;4282250000000000;26;40000;M;11
83;Rochelle;White;1940 Irving Road;7328085613;4187980000000000;29;20000;F;11
84;David;Gasaway;628 Freed Drive;8804140647;7080930000000000;90;60000;M;11
85;Joseph;Watkins;4655 Cambridge Drive;9566648908;2994280000000000;39;80000;M;11
86;Richard;Lawrence;1406 Ashmor Drive;8481905861;5738050000000000;50;60000;M;11
87;Jeanie;Johnson;142 Biddie Lane;1912388650;1135460000000000;49;40000;F;11
88;Kimberly;Becker;1000 Deer Haven Drive;7842002899;3349920000000000;20;60000;F;11
89;Edward;Lott;4848 Diamond Street;3881306276;6911560000000000;34;40000;M;11
90;John;Garza;3405 Cook Hill Road;6012148553;1807650000000000;71;20000;M;11
91;Marilyn;Croy;3195 Ferry Street;8338619980;6087300000000000;22;20000;F;11
92;Mitchell;Smith;2416 Point Street;5313838823;6740370000000000;36;60000;M;11
93;Rolando;Wheeler;3753 Brannon Avenue;7656402342;4692000000000000;21;80000;M;11
94;James;Nelson;3222 Mulberry Street;1007417866;7348130000000000;35;20000;M;11
95;Carol;Hobson;123 West Street;9091236773;3153780000000000;78;100000;F;11
96;Jean;Whittaker;2019 Carolina Avenue;9652656132;9816990000000000;83;100000;M;11
97;Mickey;Fraser;57 Franklin Street;7278548154;2557800000000000;70;20000;M;11
98;Thomas;Womack;562 My Drive;1547526094;9011170000000000;57;60000;M;11
99;Edward;Eaglin;3453 Confederate Drive;9885368844;6015510000000000;59;60000;M;11
100;Guadalupe;Wilson;1783 Smithfield Avenue;9250484007;8659900000000000;44;80000;F;11
101;Jeffrey;Jacobson;1612 Rinehart Road;4081060163;7210860000000000;45;20000;F;11
102;Alberto;McCarley;641 Crestview Manor;7874303452;6542580000000000;73;80000;M;11
103;Terri;Borden;2082 Keyser Ridge Road;4941352913;7841230000000000;86;80000;F;11
104;Tamara;Roller;2941 Harley Brook Lane;5599346700;1622020000000000;22;80000;F;11
105;George;Butler;2023 Raccoon Run;7270570272;4695860000000000;40;60000;M;11
106;Grace;Dill;4100 Kildeer Drive;5127891259;8246030000000000;67;100000;F;11
107;Christopher;Mitchell;346 South Street;2817086674;8563900000000000;90;100000;M;11
108;John;Bogert;1721 Cardinal Lane;1721490290;4522650000000000;58;20000;M;11
109;Nancy;Roy;397 Layman Court;6452446201;7893350000000000;51;80000;F;11
110;Daniel;Sturgeon;3133 Raver Croft Drive;4109508464;5642520000000000;90;60000;M;11
111;Stephen;Turpin;2058 Holt Street;4645878337;7074280000000000;75;80000;M;11
112;Glenn;Vicente;3305 Birch Street;1754146260;4792520000000000;37;40000;M;11
113;Etta;Williams;3700 Chardonnay Drive;2079674498;3534820000000000;67;100000;F;11
114;Anthony;Chapa;1002 Arbor Court;3189182691;8334010000000000;81;100000;M;11
115;Debra;Reis;1824 Stone Lane;9050788475;1235680000000000;38;60000;F;11
116;Patrick;Davenport;2032 McKinley Avenue;8858951903;4559770000000000;53;60000;M;11
117;Tawny;Landry;4305 Elk City Road;3862314451;4628710000000000;89;60000;F;11
118;Howard;Parrish;2788 White River Way;8102950769;2408730000000000;53;80000;M;11
119;Brenda;Robertson;4270 Post Farm Road;7448935926;2482880000000000;27;60000;F;11
120;Sharonda;Maldonado;264 Saint James Drive;6595474595;1476340000000000;39;40000;F;11
121;Tonya;Flores;4374 Clousson Road;6798147794;6879580000000000;65;40000;F;11
122;Dawn;Robert;223 Highland View Drive;4065978990;2960720000000000;83;60000;F;11
123;Ruth;Abadie;2273 Trainer Avenue;7123033009;4887260000000000;19;60000;F;11
124;Sheila;Smeltzer;1430 Nash Street;2220276636;1511950000000000;79;60000;F;11
125;Randy;McLeod;2427 Morningview Lane;3776657381;4190440000000000;44;60000;M;11
126;Agnes;Rudd;1019 Howard Street;1160092385;8194720000000000;60;100000;F;11
127;David;Honaker;4037 August Lane;8003738523;8104930000000000;27;40000;M;11
128;William;Fick;3190 Poplar Street;7115704372;3566920000000000;69;60000;M;11
129;Daniel;Clark;3198 West Fork Street;6569254887;7207910000000000;42;20000;M;11
130;John;Rowe;3038 Lauren Drive;7879493371;1020450000000000;45;20000;M;11
131;Danielle;Reilly;4652 Adamsville Road;9370650948;8417100000000000;48;60000;F;11
132;Darlene;Ponder;3876 Steve Hunt Road;2364824409;3896020000000000;90;60000;F;11
133;Harold;Mayes;4281 Still Street;4938118819;6804850000000000;65;40000;M;11
134;Kari;Boatright;3369 My Drive;4649670859;9834340000000000;38;100000;F;11
135;Michael;Fleming;2161 Quarry Drive;9021567530;4042470000000000;87;20000;M;11
136;Clarence;Morgan;3373 Carolina Avenue;9031787945;3841770000000000;48;20000;M;11
137;Allison;Moore;976 Heritage Road;7600041415;7242150000000000;50;20000;F;11
138;Darlene;Davis;258 Mulberry Lane;7706483551;3907710000000000;43;20000;F;11
139;Vanessa;Shoemaker;18 Plainfield Avenue;8008482630;7346550000000000;79;20000;F;11
140;Grover;James;2201 Loving Acres Road;4891437624;6533030000000000;46;80000;M;11
141;Debra;Luna;1790 Corpening Drive;4451610678;7439410000000000;66;100000;F;11
142;Don;Stevens;3931 Simpson Avenue;3047343803;1315480000000000;73;40000;M;11
143;Albert;Granda;1107 Poplar Street;1903096573;3506010000000000;70;100000;M;11
144;Gregory;Key;4630 Boggess Street;5440590231;2107670000000000;21;40000;M;11
145;Jennifer;Malone;4201 Washburn Street;3522341788;8590220000000000;34;20000;F;11
146;Gustavo;Chai;1674 Walt Nuzum Farm Road;1861340140;1319740000000000;19;60000;M;11
147;Thomas;Pitts;2758 Gordon Street;9813855180;2573780000000000;62;100000;M;11
148;Shawn;Nichols;346 Jewell Road;5060410082;3798310000000000;63;60000;F;11
149;Donald;Edwards;2264 Nutters Barn Lane;9064342289;1060870000000000;32;20000;M;11
150;Sharon;Ladner;4481 Trouser Leg Road;6713663457;7678240000000000;64;60000;F;11
151;Larry;Burke;3627 North Street;7969281022;6614300000000000;74;80000;M;11
152;Javier;Blackwell;4241 Earnhardt Drive;6712504583;9115280000000000;22;80000;M;11
153;Edward;Swett;425 Jehovah Drive;1207147861;8568740000000000;29;40000;M;11
154;Theron;Royster;233 Twin House Lane;5570075807;2965510000000000;65;60000;M;11
155;Victor;Brown;1805 Crestview Manor;2624904403;6121230000000000;74;60000;M;11
156;Wayne;Higa;1663 Lodgeville Road;1288064537;9553360000000000;40;60000;M;11
157;Paula;Bagwell;2503 Woodhill Avenue;2061304593;4973230000000000;86;20000;F;11
158;Karen;Nobles;1865 Yorkshire Circle;5235986700;1709390000000000;75;60000;F;11
159;Tara;Oakley;2983 Forest Drive;8270375752;4545490000000000;35;40000;F;11
160;Thomas;Converse;792 Goosetown Drive;4736229063;7071170000000000;81;60000;M;11
161;Jennifer;Frazier;1348 Brown Street;9937922485;3754590000000000;21;60000;F;11
162;Kevin;Ross;4088 Westwood Avenue;8539709012;1063120000000000;72;100000;M;11
163;Rita;Garrett;4478 Burke Street;7051157108;1011310000000000;59;20000;F;11
164;Benjamin;Savage;647 Allison Avenue;4485849114;2577020000000000;28;60000;M;11
165;Cassandra;Rodriguez;2473 Wayside Lane;1355972789;6849180000000000;82;100000;F;11
166;Barbara;Cummings;2128 Karen Lane;1234921125;2738960000000000;40;20000;F;11
167;Linda;Clark;3458 Jarvisville Road;2577301920;7954930000000000;81;100000;F;11
168;Robin;Garcia;2396 Cooks Mine Road;9521375513;9429100000000000;89;60000;F;11
169;Sean;Brooks;4034 Spadafore Drive;8166259560;4229040000000000;39;60000;M;11
170;Richard;Hindman;3696 Linda Street;9938818816;1698990000000000;64;100000;M;11
171;Nancy;McReynolds;4240 Chestnut Street;6383758055;9211610000000000;68;20000;F;11
172;Lolita;Reese;4454 Pin Oak Drive;9827637124;5090840000000000;61;100000;F;11
173;Mark;Corley;1462 Emily Drive;4240752714;9316780000000000;90;80000;M;11
174;Thomas;Gram;4531 Sycamore Street;6616090950;9422090000000000;82;100000;M;11
175;Peter;Smith;4079 Blair Court;2453803311;3537280000000000;70;20000;M;11
176;Sandy;Trumbull;3276 University Drive;1612266074;2124530000000000;18;60000;F;11
177;Nicholas;Sprague;266 Brown Street;3690125030;8344090000000000;77;20000;M;11
178;Craig;Rucker;305 Prospect Valley Road;7778050487;7467360000000000;33;100000;M;11
179;Wendell;Rodriguez;1577 Edsel Road;4419226889;6736060000000000;26;20000;M;11
180;Amanda;Abrams;3844 Pinewood Drive;2864315572;3229760000000000;34;20000;F;11
181;Michael;Kelly;1148 Winifred Way;9615864405;4315120000000000;52;40000;M;11
182;Juana;Gray;418 Lyndon Street;9977305070;6033940000000000;86;100000;F;11
183;Shelia;Evins;1850 Saint Francis Way;5815056834;8543320000000000;20;60000;F;11
184;Greg;Sullivan;4451 Myra Street;4027881849;3435140000000000;77;80000;M;11
185;Tina;Lowe;223 Steve Hunt Road;6721374519;8799940000000000;88;100000;F;11
186;Elizabeth;Poe;4008 Riverwood Drive;2990152133;9778460000000000;48;60000;F;11
187;Peggy;Smith;2005 Eagle Lane;5063134523;4950460000000000;80;20000;F;11
188;Lorna;Pawlowski;3756 Adams Avenue;7440923984;4178100000000000;51;100000;F;11
189;Jane;Hodges;1394 Rhode Island Avenue;3449626268;2682830000000000;32;80000;F;11
190;Gary;Collins;2679 Washington Avenue;4651647065;3582180000000000;32;40000;M;11
191;Tiffany;Lewis;723 Jim Rosa Lane;9312927970;9968570000000000;72;100000;F;11
192;William;McGee;3433 Water Street;9945151528;3657060000000000;25;20000;M;11
193;Wesley;Calderon;1380 Yorkshire Circle;9899340102;9476210000000000;86;40000;M;11
194;Gavin;Grant;1828 White Pine Lane;4313723413;5750360000000000;72;80000;M;11
195;Dorothy;Owens;2906 Carolyns Circle;4104551268;5839420000000000;67;40000;F;11
196;Howard;Elledge;4914 Parkway Street;6541135995;3270580000000000;37;100000;M;11
197;Christopher;Smith;11 Jehovah Drive;2696203470;5081260000000000;79;80000;M;11
198;Harry;Christian;1823 Sunny Day Drive;8223866562;6962990000000000;53;80000;M;11
199;Irving;Johnstone;1466 Colony Street;6475307981;3916130000000000;35;60000;M;11
200;Natasha;Labbe;4098 Tree Frog Lane;2739437763;6217040000000000;48;80000;F;11
201;Nancy;Joyce;800 Wilson Street;9292288565;4009820000000000;86;20000;F;11
202;Lorie;Mora;1957 Cessna Drive;9389964211;5774560000000000;75;20000;F;11
203;Jamila;Richard;486 Locust View Drive;8229181451;6141540000000000;86;20000;F;11
204;Maritza;Bishop;3763 Snowbird Lane;3734459121;1788750000000000;59;60000;F;11
205;Etta;Allen;3103 Joy Lane;9479539791;7613270000000000;79;40000;F;11
206;James;Trahan;2643 Camel Back Road;8896107254;4463150000000000;50;60000;M;11
207;Kendrick;Mund;1544 Despard Street;6620438987;5915410000000000;32;60000;M;11
208;Scott;Singleton;3402 Brooklyn Street;1608915044;3160990000000000;80;100000;M;11
209;Jack;Cromer;3853 Coulter Lane;3792013392;8617610000000000;67;60000;M;11
210;George;Wimberly;4653 Junior Avenue;9294354440;8862440000000000;88;40000;M;11
211;Elizabeth;Reed;1822 Victoria Court;2891817942;8434870000000000;62;80000;F;11
212;Edith;Errico;4056 Hanover Street;6715788093;5721000000000000;64;20000;F;11
213;Karen;Moser;4550 Essex Court;2254211018;9806590000000000;36;40000;F;11
214;Margaret;Cruse;4157 Happy Hollow Road;5600068507;3759580000000000;39;60000;F;11
215;Keith;Bozarth;4560 Turkey Pen Lane;8129480423;7870390000000000;26;60000;M;11
216;George;Falk;1764 Brannon Street;8348967875;6714490000000000;28;100000;M;11
217;Charles;Schindler;3294 Bloomfield Way;6630870131;2411880000000000;35;20000;M;11
218;Blanche;Maynard;1851 Joyce Street;8816522961;2886030000000000;76;80000;F;11
219;Leon;Sevilla;1000 Hoffman Avenue;7071810956;1136980000000000;54;60000;M;11
220;Norma;Rossman;524 Deer Ridge Drive;4715606254;1535790000000000;86;40000;F;11
221;Jonathan;Suarez;232 Norma Avenue;8024583176;6799420000000000;56;40000;M;11
222;Anthony;Hooker;1801 Hemlock Lane;7707627258;6317460000000000;38;80000;M;11
223;Phillip;Harvard;189 Riverside Drive;6681761544;2820150000000000;55;80000;M;11
224;Melissa;Lesure;2342 Hide A Way Road;5551250048;4249740000000000;90;20000;F;11
225;Kevin;Gaddis;907 Musgrave Street;1099968377;2746650000000000;83;80000;M;11
226;Jesus;Hilburn;2329 Elm Drive;5399641553;9522780000000000;37;40000;M;11
227;Maryann;Melara;4432 Bruce Street;7172292935;5701220000000000;21;20000;F;11
228;Mary;Solley;4718 Aviation Way;3775013622;4475120000000000;27;80000;F;11
229;Theresa;Tierney;4411 Stark Hollow Road;4128732778;2197880000000000;67;60000;F;11
230;John;Smith;1759 Elliot Avenue;3326815737;5715940000000000;67;20000;M;11
231;Johnny;Eckert;2383 Fowler Avenue;2425690554;1508830000000000;35;60000;F;11
232;Katie;Clifford;2442 Elk Rd Little;5860990967;2722740000000000;33;80000;F;11
233;Mildred;Hamilton;1244 Luke Lane;4646948505;6232740000000000;90;20000;F;11
234;William;Theriault;80 Alexander Avenue;5718193571;8901930000000000;68;20000;M;11
235;Thomas;Lambert;3930 Driftwood Road;9853886479;6780900000000000;36;80000;M;11
236;Concepcion;McNair;3628 Sunrise Road;1565292418;3436180000000000;79;80000;F;11
237;Charmaine;Fields;4134 Friendship Lane;1059322345;3707160000000000;76;60000;F;11
238;Elizabeth;Sims;2942 Queens Lane;1863348993;1597760000000000;78;100000;F;11
239;Betty;Lane;367 Denver Avenue;1035903769;4281210000000000;71;40000;F;11
240;Truman;Freeman;3023 Ridenour Street;8532190868;9071420000000000;18;40000;M;11
241;Lowell;Harvey;3154 Bridge Avenue;2585578940;3266490000000000;58;20000;M;11
242;Brian;Foster;2625 Charack Road;4533164555;5839910000000000;75;40000;M;11
243;Maureen;Burkett;3785 Chardonnay Drive;9216089902;7840320000000000;53;60000;F;11
244;Irene;Chapman;1337 Hornor Avenue;4593760254;9782810000000000;29;60000;F;11
245;John;Young;825 Boring Lane;5091884392;4461170000000000;43;40000;M;11
246;Rosemary;Horne;4477 Kyle Street;1953241795;9423400000000000;54;100000;F;11
247;Doris;Wright;4581 Rhapsody Street;9178639777;2033070000000000;36;60000;F;11
248;Amber;Jimenes;2202 Briarwood Road;9242159193;4464410000000000;82;100000;F;11
249;Kim;Larsen;1971 Woodrow Way;5333657757;5085830000000000;54;40000;M;11
250;Stanley;Petersen;2944 Pooh Bear Lane;2265148245;2131060000000000;90;20000;M;11
251;Debbie;Marconi;2435 Melm Street;5319693184;6145800000000000;62;100000;F;11
252;Eliza;Laine;3788 Meadow View Drive;3726352094;1990020000000000;41;100000;F;11
253;Malissa;Lenihan;112 Public Works Drive;4994618101;5730260000000000;43;40000;F;11
254;John;Taylor;248 Cimmaron Road;8840514968;4976070000000000;48;20000;M;11
255;Oleta;Tillman;3457 Granville Lane;3996292216;6752040000000000;58;80000;F;11
256;Robert;Tomas;1904 Alpha Avenue;8146984087;5128880000000000;48;80000;M;11
257;Frank;Babb;4130 Kuhl Avenue;7152320561;3552330000000000;53;20000;M;11
258;James;Ebner;949 Worthington Drive;8619782804;5877140000000000;83;20000;M;11
259;Timothy;Greer;2787 Carolyns Circle;3671714553;3291500000000000;61;20000;M;11
260;Jason;Ashe;1293 Nixon Avenue;6159762535;6974040000000000;62;40000;M;11
261;Carly;Young;4082 Godfrey Street;7365676672;7112550000000000;43;40000;F;11
262;Clara;Switzer;1244 Dane Street;9540433463;3890200000000000;48;80000;F;11
263;Barbara;Bergmann;2308 Poco Mas Drive;6566542046;7873330000000000;45;40000;F;11
264;James;Green;2367 Cooks Mine Road;6326537996;5189830000000000;42;20000;M;11
265;Claudia;Upchurch;1105 Tenmile Road;9446080135;5925170000000000;31;60000;F;11
266;Nancy;Gallagher;2962 Bassell Avenue;3319631964;6190920000000000;72;100000;F;11
267;Anderson;Lott;3181 Gregory Lane;6351986862;5325800000000000;62;80000;M;11
268;Clementine;Oliver;2463 Bird Spring Lane;3979425513;9462670000000000;54;60000;F;11
269;Antwan;Harrel;997 Harley Brook Lane;9490352484;5419350000000000;90;100000;M;11
270;Sean;Hall;4723 Junkins Avenue;9235048020;1688430000000000;32;40000;M;11
271;Marjorie;Kohler;1565 Lightning Point Drive;6672575523;4426760000000000;75;40000;F;11
272;Dina;Craig;919 Gladwell Street;9556971297;1611150000000000;66;100000;F;11
273;Patrick;Smith;463 American Drive;9460061874;3943760000000000;84;40000;M;11
274;Jonathan;Arent;1196 Hilltop Haven Drive;7503574506;4485530000000000;46;80000;M;11
275;Michael;Sturdevant;2264 Gateway Avenue;9755488057;2083350000000000;47;20000;M;11
276;John;Simon;4998 Timbercrest Road;1906662633;7219350000000000;61;100000;M;11
277;Enrique;Garcia;116 Coventry Court;1513486435;5840220000000000;43;100000;M;11
278;Travis;Frost;281 Pin Oak Drive;8074536088;5271380000000000;74;20000;M;11
279;Gilbert;Williams;4328 Shinn Avenue;5305716901;8190470000000000;28;20000;M;11
280;Rita;Delacruz;3466 Poplar Avenue;1505129548;3246490000000000;38;80000;F;11
281;Michelle;Surber;741 Worley Avenue;2223535093;9097500000000000;22;100000;F;11
282;Ralph;Lippert;2497 Ingram Road;1924203953;5873690000000000;90;80000;M;11
283;Myrtle;Lopez;4059 Oliverio Drive;8764344763;8467440000000000;83;40000;F;11
284;Shawn;Johnson;2758 Elm Drive;2921405410;7058160000000000;32;20000;M;11
285;Ada;Sandlin;4146 Tenmile Road;7536785773;8235090000000000;59;20000;F;11
286;Luis;Rodriguez;4489 Broaddus Avenue;2193997890;6729660000000000;27;40000;M;11
287;Karen;Ethier;4130 Duncan Avenue;9512775433;1267900000000000;48;60000;F;11
288;Walter;Bardin;3522 Main Street;9218394410;4492170000000000;50;100000;M;11
289;Robert;Lopez;3327 Flinderation Road;8941537579;1610870000000000;75;60000;M;11
290;Robert;Williams;3588 Ingram Street;4139329435;4138480000000000;85;40000;M;11
291;Vera;Tibbetts;3023 Andell Road;1933757302;6636060000000000;32;40000;F;11
292;Janet;Chavez;4145 Hillview Drive;6812486108;3440860000000000;59;20000;F;11
293;Daniel;Rogers;2479 Confederate Drive;4270815277;2944910000000000;79;40000;M;11
294;Sarah;Dudley;1663 Glenview Drive;4386977421;8001160000000000;21;80000;F;11
295;Chadwick;Ogburn;465 Tator Patch Road;1149060316;3476240000000000;60;40000;M;11
296;Juan;Hassan;172 Bartlett Avenue;8891680955;4629930000000000;45;40000;M;11
297;Edward;Murray;3088 Heavner Court;7717197769;1234500000000000;58;60000;M;11
298;Elizabeth;Foster;3312 Raintree Boulevard;3569018616;3514430000000000;28;80000;F;11
299;Danica;Johnson;3866 Cottonwood Lane;9254136228;2839150000000000;39;80000;F;11
300;Scott;Murphy;3263 Khale Street;4098719533;8166000000000000;23;60000;M;11
301;Mark;Cowles;3029 Snider Street;4294433532;9450070000000000;67;60000;M;11
302;Maurice;Hodge;706 Alpaca Way;4081031166;7549270000000000;60;40000;M;11
303;Paul;Marin;980 Brownton Road;2243459966;4559870000000000;78;40000;M;11
304;Harry;Haddad;743 Angus Road;5180039471;6458090000000000;89;20000;M;11
305;Lan;Fleury;642 Arlington Avenue;5159175581;4901920000000000;44;40000;F;11
306;Emanuel;Green;2423 Ferguson Street;1472697085;4990250000000000;79;20000;M;11
307;Frances;Knott;2604 Carter Street;3766494931;3613010000000000;89;60000;F;11
308;Sarah;Perkins;4316 Chandler Hollow Road;4932828367;4214090000000000;89;60000;F;11
309;Debbie;Hambrick;413 Davis Street;3531801684;5970230000000000;26;40000;F;11
310;Joseph;Thompson;105 Boone Crockett Lane;7757414799;8083660000000000;35;80000;M;11
311;Jean;Sanders;916 Brooke Street;2058246426;9332940000000000;29;60000;F;11
312;Mark;Levy;3011 Commerce Boulevard;1912545777;9884610000000000;76;80000;M;11
313;Stephanie;Gaston;1561 Gore Street;5962735780;4982920000000000;70;40000;F;11
314;Colleen;Galiano;4305 Cantebury Drive;3284500294;5543110000000000;67;60000;F;11
315;Lora;Colburn;1523 Ruckman Road;5130357361;9687520000000000;56;60000;F;11
316;Keisha;Noonan;1719 Eastland Avenue;3632549888;3363320000000000;55;60000;F;11
317;Katherine;Robertson;1563 Chardonnay Drive;6617857897;1920310000000000;33;80000;F;11
318;Sherry;Trumble;3986 Post Avenue;3978165483;3824730000000000;30;100000;F;11
319;Helen;Garrett;1958 Charla Lane;8701239216;1406040000000000;34;60000;F;11
320;Jan;Painter;21 Goff Avenue;4765436836;3121730000000000;29;60000;F;11
321;Thomas;Turpin;1043 Arrowood Drive;3162309773;4204170000000000;78;100000;M;11
